id,adaptability,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,incredibly_kifriendly_dogs,dog_friendly,friendly_towarstrangers,health_grooming,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,exercise_needs,energy_level,intensity,potential_for_playfulness,breed_group,height,weight,lifspan,adapts_well_to_apartment_living
0,3,2,5.0,1,4,3,5,5,4,5,5,2,5,4,3,3,2,4,4,4,4,4,5.0,4,5,4.0,4,4.0,5,Mixed Breed Dogs,7 to 11 inches,70 to 115 pounds,10 to 15 years,Flexible
1,3,4,5.0,3,2,2,4,5,3,3,2,3,1,1,5,2,3,2,3,3,4,3,3.0,3,2,3.0,2,2.0,4,Companion Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",8 to 18 pounds,12 to 15 years ,Moderate
2,4,3,5.0,3,4,4,5,5,5,4,4,3,1,1,1,5,4,2,4,3,4,2,5.0,1,3,4.0,5,1.0,4,Companion Dogs,23 to 27 inches tall at the shoulder,9 to 15 pounds,8 to 10 years,Versatile
3,3,2,3.0,3,4,4,4,5,5,1,2,3,4,1,5,4,3,3,4,5,4,2,4.0,1,4,4.0,5,4.0,4,Mixed Breed Dogs,10 to 13 inches,25 to 27 pounds,8 to 10 years,Resistant
4,3,3,2.0,3,3,2,3,4,3,2,2,3,2,1,1,5,3,1,3,3,3,3,5.0,5,3,3.0,3,3.0,3,Mixed Breed Dogs,21 to 25 inches at the shoulder,15 to 35 pounds ,10 to 11 years,Versatile
5,2,3,3.0,2,5,2,4,5,4,4,3,3,3,1,3,4,2,3,4,3,5,2,2.0,4,4,4.0,4,3.0,4,Working Dogs,12 to 15 inches. ,30 to 60 pounds,10 to 12 years,Moderate
6,3,5,4.0,2,4,4,4,5,4,3,3,3,2,1,3,5,4,4,3,5,4,3,3.0,2,5,4.0,5,4.0,4,Terrier Dogs,18 to 23.5 inches,40 to 50 pounds,10 to 15 years,Flexible
7,3,2,5.0,2,4,4,5,5,5,5,5,3,2,1,3,3,3,3,4,5,5,2,5.0,4,4,4.0,4,5.0,4,Sporting Dogs,19 to 24 inches,25 to 35 pounds. ,10 to 14 years,Resistant
8,2,1,5.0,1,4,4,5,5,5,5,4,4,5,4,5,3,5,4,4,5,5,1,3.0,1,3,5.0,5,4.0,5,Mixed Breed Dogs,"1 foot, 8 inches to 2 feet tall at the shoulder",Starts at 20 pounds,10 to 14 years,Resistant
9,4,3,3.0,1,4,3,4,5,3,3,3,2,3,1,1,4,2,3,3,5,4,4,3.0,2,2,4.0,4,4.0,4,Terrier Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",30 to 60 pounds,12 to 15 years,Flexible
10,4,2,4.0,2,1,2,4,5,4,3,4,4,5,2,5,3,4,4,4,4,4,3,2.0,2,3,4.0,4,3.0,5,Working Dogs,"10 inches to 1 foot, 2 inches tall at the shoulder",9 to 13 pounds,10 to 12 years,Hesitant
11,3,5,3.0,3,3,2,3,2,5,4,2,3,1,3,3,3,1,1,3,3,4,2,2.0,2,2,4.0,3,2.0,3,Mixed Breed Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",18 to 30 pounds,12 to 15 years,Versatile
12,2,2,2.0,3,1,3,4,5,5,3,2,3,5,1,3,4,1,3,4,3,4,3,5.0,4,3,4.0,4,3.0,4,Mixed Breed Dogs,16 to 25 inches,18 to 30 pounds,6 to 10 years,Moderate
13,3,3,4.0,2,2,2,3,5,3,2,2,2,1,1,4,4,3,1,3,3,4,3,3.0,5,1,3.0,4,4.0,4,Mixed Breed Dogs,11 to 24 inches,3 to 6 pounds,12 to 15 years,Versatile
14,4,3,5.0,3,1,3,5,5,5,5,5,3,3,5,1,4,3,3,4,3,4,4,5.0,4,5,4.0,5,4.0,4,Hound Dogs,12 to 16 inches ,18 to 30 pounds,12 to 15 years,Resistant
15,4,4,3.0,3,5,2,5,5,5,4,5,3,5,4,4,4,5,2,4,3,4,2,4.0,2,4,4.0,4,3.0,4,Working Dogs,19 to 24 inches,30 to 60 pounds,7 to 10 years,Moderate
16,4,2,5.0,3,1,2,3,4,3,3,2,2,1,1,5,3,3,3,3,3,3,4,2.0,2,1,3.0,2,3.0,3,Hybrid Dogs,"Up to 1 foot, 2 inches tall at the shoulder",18 to 30 pounds,12 to 14 years,Versatile
17,3,2,5.0,3,5,4,4,5,4,5,4,4,3,4,5,3,4,5,3,4,4,3,3.0,3,2,4.0,5,3.0,5,Mixed Breed Dogs,17 to 20 inches tall at the shoulder,20 to 75 pounds,11 to 16 years ,Resistant
18,3,2,3.0,1,4,4,5,5,5,5,5,3,3,1,4,3,5,5,4,3,3,3,4.0,2,1,5.0,5,4.0,4,Hybrid Dogs,16 to 19 inches,14 to 16 pounds,11 to 14 years,Hesitant
19,3,2,4.0,2,4,3,5,5,5,4,3,3,5,1,5,3,4,4,4,2,5,3,3.0,2,2,4.0,5,3.0,5,Mixed Breed Dogs,9 to 12 inches,Starts at 20 pounds,12 to 15 years,Resistant
20,3,4,5.0,2,2,2,4,5,4,4,3,2,5,1,2,4,4,4,3,4,4,2,3.0,2,3,5.0,5,3.0,5,Herding Dogs,"1 foot, 8 inches to 2 feet, 3 inches tall at the shoulder",9 to 13 pounds,10 to 12 years,Versatile
21,3,2,4.0,1,4,2,4,5,5,3,3,3,3,3,2,4,4,3,4,4,5,4,5.0,1,4,4.0,4,4.0,5,Sporting Dogs,12 to 15 inches. ,30 to 60 pounds,14 to 16 years,Resistant
22,3,4,3.0,2,3,3,3,4,3,5,5,3,2,1,5,3,2,2,4,2,4,4,4.0,4,5,4.0,4,4.0,4,Hound Dogs,"Up to 1 foot, 2 inches tall at the shoulder",48 to 55 pounds,11 to 13 years,Flexible
23,2,2,3.0,2,4,3,4,5,5,4,5,3,4,2,5,2,4,3,4,4,4,4,5.0,4,4,4.0,4,2.0,4,Sporting Dogs,12 to 15 inches. ,70 to 115 pounds,13 to 15 years,Resistant
24,3,1,4.0,2,3,4,4,5,5,5,4,3,4,1,5,3,4,3,4,5,4,3,3.0,4,3,5.0,5,5.0,5,Terrier Dogs,15 to 30 inches,120 to 180 pounds,13 to 16 years,Resistant
25,3,5,5.0,3,1,5,5,4,5,5,5,3,3,1,5,4,4,2,4,3,4,3,,4,5,4.0,4,2.0,4,Hound Dogs,"Up to 1 foot, 2 inches tall at the shoulder",44 to 55 pounds. ,11 to 15 years,Flexible
26,3,5,4.0,3,2,4,3,4,4,3,3,2,2,1,3,2,2,1,3,2,4,2,3.0,3,1,3.0,3,3.0,5,Hybrid Dogs,21 to 25 inches at the shoulder,9 to 15 pounds,12 to 14 years,Versatile
27,3,1,3.0,1,4,2,4,4,4,2,5,4,2,1,1,3,3,2,3,3,3,2,4.0,3,3,3.0,2,3.0,4,Working Dogs,10 to 15 inches,45 to 70 pounds,12 to 14 years,Versatile
